variabletag,dum_vars,IndFlag,Label,Variable,Banner,Attribute,SegType,Type,Drivers,PDomain
Q18,Q18_r17,,Key Purchase Criteria:I bought it on impulse,,Key Purchase Criteria,I bought it on impulse,Needs/Benefits,Key Purchase Criteria,I bought it on impulse,
Q18,Q18_r18,,Key Purchase Criteria:It was recommended by a celebrity/influencer,,Key Purchase Criteria,It was recommended by a celebrity/influencer,Needs/Benefits,Key Purchase Criteria,It was recommended by a celebrity/influencer,
Q18,Q18_r19,,Key Purchase Criteria:It has high ratings online,,Key Purchase Criteria,It has high ratings online,Needs/Benefits,Key Purchase Criteria,It has high ratings online,
Q18,Q18_r20,,Key Purchase Criteria:It was recommended by friends and family,,Key Purchase Criteria,It was recommended by friends and family,Needs/Benefits,Key Purchase Criteria,It was recommended by friends and family,
Q18,Q18_r21,,Key Purchase Criteria:This was my first time buying the brand,,Key Purchase Criteria,This was my first time buying the brand,Needs/Benefits,Key Purchase Criteria,This was my first time buying the brand,
Q19,Q19_r1,,Pack Type:Bag,,Pack Type,Bag,Product,Pack Type,Bag,
Q19,Q19_r2,,Pack Type:Can,,Pack Type,Can,Product,Pack Type,Can,
Q19,Q19_r3,,Pack Type:Bottle,,Pack Type,Bottle,Product,Pack Type,Bottle,
Q19,Q19_r4,,Pack Type:Capsule,,Pack Type,Capsule,Product,Pack Type,Capsule,
Q19,Q19_r5,,Pack Type:Bulk,,Pack Type,Bulk,Product,Pack Type,Bulk,
Q19,Q19_r6,,Pack Type:Other,,Pack Type,Other,Product,Pack Type,Other,
Q19,Q19_r7,,Pack Type:Did not purchase,,Pack Type,Did not purchase,Product,Pack Type,Did not purchase,
Q20,Q20_r1,,Pack Size:Less than 1 lb.,,Pack Size,Less than 1 lb.,Product,Pack Size,Less than 1 lb.,
Q20,Q20_r2,,Pack Size:1 lb - less than 2 lbs.,,Pack Size,1 lb - less than 2 lbs.,Product,Pack Size,1 lb - less than 2 lbs.,
Q20,Q20_r3,,Pack Size:2 lbs. - less than 5 lbs,,Pack Size,2 lbs. - less than 5 lbs,Product,Pack Size,2 lbs. - less than 5 lbs,
Q20,Q20_r4,,Pack Size:5 lbs. - less than 10 lbs.,,Pack Size,5 lbs. - less than 10 lbs.,Product,Pack Size,5 lbs. - less than 10 lbs.,
Q20,Q20_r5,,Pack Size:10 lbs. or more,,Pack Size,10 lbs. or more,Product,Pack Size,10 lbs. or more,
Q20,Q20_r6,,Pack Size:Don't know,,Pack Size,Don't know,Product,Pack Size,Don't know,
Q20,Q20_r7,,Pack Size:Did not purchase,,Pack Size,Did not purchase,Product,Pack Size,Did not purchase,
Q21,Q21_r1,,Price Tier:Under $10,,Price Tier,Under $10,Product,Price Tier,Under $10,
Q21,Q21_r2,,Price Tier:$10 - under $20,,Price Tier,$10 - under $20,Product,Price Tier,$10 - under $20,
Q21,Q21_r3,,Price Tier:$20 - under $30,,Price Tier,$20 - under $30,Product,Price Tier,$20 - under $30,
Q21,Q21_r4,,Price Tier:$30 - under $50,,Price Tier,$30 - under $50,Product,Price Tier,$30 - under $50,
Q21,Q21_r5,,Price Tier:$50 and above,,Price Tier,$50 and above,Product,Price Tier,$50 and above,
Q21,Q21_r6,,Price Tier:Don't know,,Price Tier,Don't know,Product,Price Tier,Don't know,
Q21,Q21_r7,,Price Tier:Did not purchase,,Price Tier,Did not purchase,Product,Price Tier,Did not purchase,
Q22,Q22_r1,,Attitudes:I actively seek out coffees with different origins and roasts,,Attitudes,I actively seek out coffees with different origins and roasts,Attitudes,Attitudes,I actively seek out coffees with different origins and roasts,
Q22,Q22_r2,,Attitudes:I love the smell of freshly ground coffee,,Attitudes,I love the smell of freshly ground coffee,Attitudes,Attitudes,I love the smell of freshly ground coffee,
Q22,Q22_r3,,Attitudes:I love the taste of coffee,,Attitudes,I love the taste of coffee,Attitudes,Attitudes,I love the taste of coffee,
Q22,Q22_r4,,Attitudes:Coffee tastes better when the beans are freshly ground,,Attitudes,Coffee tastes better when the beans are freshly ground,Attitudes,Attitudes,Coffee tastes better when the beans are freshly ground,
Q22,Q22_r5,,Attitudes:A high quality coffee appliance is essential to making a good cup of coffee,,Attitudes,A high quality coffee appliance is essential to making a good cup of coffee,Attitudes,Attitudes,A high quality coffee appliance is essential to making a good cup of coffee,
Q22,Q22_r6,,Attitudes:I am very methodical about how I prepare and drink my coffee,,Attitudes,I am very methodical about how I prepare and drink my coffee,Attitudes,Attitudes,I am very methodical about how I prepare and drink my coffee,
Q22,Q22_r7,,Attitudes:My coffee ritual has been the same for more than a decade,,Attitudes,My coffee ritual has been the same for more than a decade,Attitudes,Attitudes,My coffee ritual has been the same for more than a decade,
Q22,Q22_r8,,Attitudes:I am regarded by my friends as a coffee expert,,Attitudes,I am regarded by my friends as a coffee expert,Attitudes,Attitudes,I am regarded by my friends as a coffee expert,
Q22,Q22_r9,,Attitudes:Preparing coffee is as enjoyable as drinking it,,Attitudes,Preparing coffee is as enjoyable as drinking it,Attitudes,Attitudes,Preparing coffee is as enjoyable as drinking it,
Q22,Q22_r10,,Attitudes:Drinking coffee is an important part of my routine,,Attitudes,Drinking coffee is an important part of my routine,Attitudes,Attitudes,Drinking coffee is an important part of my routine,
Q22,Q22_r11,,Attitudes:I think of myself as a coffee lover,,Attitudes,I think of myself as a coffee lover,Attitudes,Attitudes,I think of myself as a coffee lover,
Q22,Q22_r12,,Attitudes:Coffee in bags is usually higher quality than coffee in cans,,Attitudes,Coffee in bags is usually higher quality than coffee in cans,Attitudes,Attitudes,Coffee in bags is usually higher quality than coffee in cans,
Q22,Q22_r13,,Attitudes:I can never seem to make coffee at home as well as they do in cafés,,Attitudes,I can never seem to make coffee at home as well as they do in cafés,Attitudes,Attitudes,I can never seem to make coffee at home as well as they do in cafés,
Q22,Q22_r14,,"Attitudes:I really don't think about coffee that much, I just drink it",,Attitudes,"I really don't think about coffee that much, I just drink it",Attitudes,Attitudes,"I really don't think about coffee that much, I just drink it",
Q22,Q22_r15,,Attitudes:I know more about coffee than most people,,Attitudes,I know more about coffee than most people,Attitudes,Attitudes,I know more about coffee than most people,
Q22,Q22_r16,,Attitudes:I am willing to pay more for good coffee,,Attitudes,I am willing to pay more for good coffee,Attitudes,Attitudes,I am willing to pay more for good coffee,
Q22,Q22_r17,,Attitudes:I wish I could limit my caffeine intake,,Attitudes,I wish I could limit my caffeine intake,Attitudes,Attitudes,I wish I could limit my caffeine intake,
Q22,Q22_r18,,Attitudes:I make more coffee at home during the pandemic than before,,Attitudes,I make more coffee at home during the pandemic than before,Attitudes,Attitudes,I make more coffee at home during the pandemic than before,
Q22,Q22_r19,,Attitudes:I will make less at home once the pandemic is over,,Attitudes,I will make less at home once the pandemic is over,Attitudes,Attitudes,I will make less at home once the pandemic is over,
Q22,Q22_r20,,Attitudes:I will drink more coffee at cafés once the pandemic is over,,Attitudes,I will drink more coffee at cafés once the pandemic is over,Attitudes,Attitudes,I will drink more coffee at cafés once the pandemic is over,
Q22,Q22_r21,,Attitudes:I drink coffee to be social,,Attitudes,I drink coffee to be social,Attitudes,Attitudes,I drink coffee to be social,
Q22,Q22_r22,,"Attitudes:Once I find a product I like, I stick with it",,Attitudes,"Once I find a product I like, I stick with it",Attitudes,Attitudes,"Once I find a product I like, I stick with it",
Q22,Q22_r23,,Attitudes:I would recommend my coffee brand to my friends and colleagues,,Attitudes,I would recommend my coffee brand to my friends and colleagues,Attitudes,Attitudes,I would recommend my coffee brand to my friends and colleagues,
